name,cate,desc,dispellable,extendable,stealable
万缕,有害,状态持续期间只可直线移动。状态被剪断时，受到一次「固定伤害」（最大气血的25%）（不受「万毒归心」和「无觉」状态影响）,true,false,false
三昧真火,有害,法防-15%，行动结束时，遭受1次法术伤害（施加者法攻的50%）,true,false,false
专注,其他,上限4层，遭受攻击后移除1层。,false,false,false
中毒,有害,行动结束时，损失10%气血，若每多移动1格，则额外损失5%气血（最多15%）,true,false,false
义,其他,仁不异远，义不辞难。,false,false,false
九仪天尊剑,其他,2格范围内敌方被施加的治疗直接转变为治疗量的50%伤害。
友方拾取：主动攻击「对战中」物攻、暴击率提升20%，若为「侠客」则额外获得主动攻击「对战后」附加1次50%「剑意激荡」（目标（物攻+法攻）的伤害（无法被减免））
敌方拾取：主动攻击「对战中」物攻、暴击率提升20%，遭受伤害提升20%，行动结束时损失自身20%当前气血。,false,false,false
乱神I,有害,伤害-10%,true,false,false
乱神II,有害,伤害-20%,true,false,false
云隐,其他,无法作为目标被选中，主动造成伤害或者承受1次范围伤害后状态消失,false,false,false
人魂,其他,受到致命伤害免除死亡，恢复50%气血和护盾，自身强制切换为「妖魂虞兮」。,false,false,false
仙灵,其他,移动力+1，气血大于等于80%时，无法被敌方选中（主动攻击「对战后」移除）。,false,false,false
仙罪,其他,与「雪芝」「对战中」伤害、免伤-10%（上限3层）。主动绝学都在冷却中时，移动力-1。,false,false,false
仙躯,其他,法术免伤提高20%，代替2格内友方承受法术攻击（遭受攻击「对战后」消失并回复50%气血）,false,false,false
传送,其他,传送效果包含：「传送」、「扰动」、「牵引」,false,false,false
位移,其他,位移效果包含：「击退」、「拉拽」,false,false,false
余蕴幽香,其他,若自身气血低于100%，则对友方使用绝学后同时为自己恢复气血（恢复量为施术者法攻的1倍）,false,false,false
侠义,其他,行动结束前，若携带3层「侠义」状态，则获得再移动4格，并消耗2层。（上限3层，无法驱散）,false,false,false
信步,有益,免疫「移动力降低」,true,false,false
先祖庇佑,其他,若自身气血100%，范围内友方免疫敌方造成的「传送」效果。,false,false,false
光铠,有益,遭受范围绝学攻击时，受到伤害降低20%，并为自身驱散1个「有害状态」（遭受范围绝学攻击后消失）,true,false,false
共影,其他,自身3格内其他友方行动结束时，以自身和该友方中气血百分比高的一方为基准同步双方气血百分比。,false,false,false
共影·玄,其他,遭受攻击时使非攻击目标的其他友方「胧梦婳妖」替自身承受伤害量的50%（承受量不超过自身的最大气血），自身3格内其他友方行动结束时，以自身和该友方中气血百分比高的一方为基准同步双方气血百分比。,false,false,false
内蕴,其他,全属性提升30%,false,false,false
冰之力,其他,攻击携带「迟缓」类状态的目标时，战斗中伤害额外提高20%。,false,false,false
冰劫,其他,主动移动时，若移动距离小于等于1格，行动结束时，将「冰劫」替换为「晕眩」，持续1回合。,false,false,false
冰清,有益,免疫所有有害效果,true,false,false
冰霜,其他,受治疗效果、护盾获得加成降低10%，达到3层时立刻受到1次「固定伤害」（当前气血的20%），并在所在格制造敌方阵营的「霜冻」地形，持续2回合。（触发后移除）
「霜冻」：霜冻内的敌方角色，移动力-1,false,false,false
冲阵,其他,移动力+1，伤害和免伤提高12%（上限2层）,false,false,false
决斗,其他,选择敌方作为目标时只能选中施加者，与施加者「对战中」自身伤害和免伤降低10%,false,false,false
凝冰,有益,伤害提高1%，物理穿透提高1%（上限4层）,false,false,false
刺骨I,有益,暴击率+20%,true,false,false
刺骨II,有益,暴击率+25%,true,false,false
剑意激荡,其他,目标（物攻+法攻）的伤害（无法被减免）,false,false,false
剑气,其他,造成伤害提升24%，遭受伤害降低24%,false,false,false
剑绝,其他,「对战中」物理穿透提升20%，遭受攻击「对战中」发动「先攻」，且「先攻」射程提高1格。受到伤害后获得1层「剑绝」状态（最多叠加3层，达到3层时，主动使用单体伤害绝学造成伤害后降低2层）,false,false,false
剑绝霜狱,其他,周围2格内所有敌人移动力-3，且无法护卫（无法驱散）,false,false,false
劫烬,其他,全属性提升20%,false,false,false
劫焰,其他,来自施加者的伤害提高20%。对施加者的首次攻击会被闪避,false,false,false
劫焰·壹,其他,来自施加者的伤害提高20%。对施加者的首次攻击会被闪避，「无法被选中」效果（「烟雾」地形除外）失效,false,false,false
化形·反啄I,有益,反击射程+1，与远程作战「对战中」物防、法防提升20%,false,false,false
匿鞘,其他,最多储存自身最大气血的100%（不可驱散，必定在2回合内消化储存总量）,false,false,false
厉风狱,有害,无法行动，且在对战中无法进行反击，无法被治疗。状态消失时，受到1次「固定伤害」（当前气血的20%），并驱散自身周围1圈友方2个「有益状态」。,true,false,false
压制,其他,无法进行反击或先攻（不可驱散，遭受攻击「对战后」消失）,true,false,false
号令,其他,自身两格范围内，若有友方主动发起对战，且优先攻击时，伤害提高10%，「啸霜」发起攻击时伤害额外提升30%（1回合限定发动1次）,false,false,false
叹妙摩耶,其他,3格范围内的友方行动结束时，反转1个「有害状态」。,false,false,false
同归,其他,暴击率提高100%，行动结束死亡,false,false,false
启智,其他,遭受单体伤害绝学攻击时气血越高免伤和暴击抗性越高（最高提升20%）（遭受单体伤害绝学后移除）,false,false,false
命杀,其他,免疫「属性类降低」有害状态，主动攻击「对战后」，使目标发生1圈内「扰动」效果。,false,false,false
命蕴,有益,行动结束时，恢复20%气血,true,false,false
嗜虐,其他,回合开始时，损失自身当前10%气血。每损失10%，除气血外全属性提升5%（最多提高20%）,false,false,false
回灵界,其他,法阵内友方免疫「属性降低」类「有害状态」（不可驱散）,false,false,false
回灵阵式,其他,友方落位时触发，对「回灵界」内的所有友方施加1个随机「有益状态」，并恢复最大气血的30%。,false,false,false
固元I,有益,法术免伤+10%,true,false,false
固元II,有益,法术免伤+20%,true,false,false
固元III,有益,法术免伤+25%,true,false,false
圣烨,其他,法防和法术免伤提高20%，代替2格内友方承受法术攻击（遭受法术攻击「对战后」恢复3格内友方气血（物攻的1倍））,false,false,false
圣耀,其他,3格内的敌人行动结束时获得「魂创」状态，并恢复施加者30%最大气血。,false,false,false
圣耀·贰,其他,自身免伤+15%，3格内的敌人行动结束时获得「魂创」状态，驱散施加者1个「有害状态」并恢复施加者30%最大气血。,false,false,false
地火焚狱,其他,若敌人行动结束时，位于施加者3格范围内，驱散2个「有益状态」，并受到1次「固定伤害」（施术者物攻的15%）,false,false,false
堕罪,有害,无法获得「有益状态」，遭受施加者攻击时，法术免伤-10%。,false,false,false
处刑,其他,射程和移动力+1，主动攻击后使目标携带的「有害状态」等级提升1级。,false,false,false
复仇,有益,反击伤害提高30%,true,false,false
天华,其他,伤害、护盾获得加成提升4%（最多叠加6层，达到满层时使用伤害绝学后移除）,false,false,false
天玑印,有益,免疫所有「有害状态」，获得来自施加者触发的天赋效果（不可复制，不可偷取）,true,false,false
天禄印,有益,免疫「固定伤害」，主动移动后在路径上制造「霜冻」地形，持续2回合。
「霜冻」：霜冻内的敌方角色，移动力-1,true,false,false
天魔护铠,其他,免伤提高50%（受到伤害后消失）,false,false,false
天鼓法华,其他,3格范围内的友方行动结束时，获得「迅捷I」状态，持续1回合。
